Region,ID,ChemicalName,mean.Control.PBS,mean.0.2.mg.kg.DMSO,mean.2.0.mg.kg.DMSO,mean.4.0.mg.kg.DMSO,FC_lowvsCTRL,FC_medvsCTRL,FC_highvsCTRL,post.hoc.Control.PBS.0.2.mg.kg.DMSO,post.hoc.Control.PBS.2.0.mg.kg.DMSO,post.hoc.Control.PBS.4.0.mg.kg.DMSO
Cerebellum,179,Glutamine,818725785.6,814840761.6,882673717.3,846872512,0.995254792,1.078106654,1.034378698,0.949055923,0.981769266,0.998360884
Basal Ganglia,179,Glutamine,767170892.8,825928652.8,766925824,716540736,1.076590184,0.999680555,0.93400407,0.674353562,0.999986087,0.681997079
Hippocampus,182,Glutathione-oxidized,43738,397863.2,756097.4,9127,9.096511043,17.28696785,0.208674379,0.019024775,0.028521536,0.727650825
Cortex,182,Glutathione-oxidized,65481,56494.8,374190.6,343133.2,0.862766299,5.714491226,5.240194866,0.907514046,0.297895531,0.460694968
Cerebellum,182,Glutathione-oxidized,27552.4,1617238.6,394752.1667,9926.2,58.69683222,14.32732418,0.360266256,0.012384876,0.043212959,0.089607195
Basal Ganglia,182,Glutathione-oxidized,56993.6,85614.8,839890.6,11136.6,1.502182701,14.73657744,0.195400887,0.987186814,0.134097549,0.010572896
Hippocampus,180,Glutathione-oxidizeD-,8502227.4,14284683.2,17525146.8,18787838.2,1.680110697,2.061241834,2.209754846,0.406267801,0.373255484,0.319913594
Cortex,180,Glutathione-oxidizeD-,9486326,15986488,16817195.6,16991404.6,1.685213854,1.772782803,1.791147026,0.219796233,0.478517667,0.258970954
Cerebellum,180,Glutathione-oxidizeD-,13426298.4,19982522.8,18003693.67,27491534,1.488312132,1.340927568,2.047588485,0.454949371,0.675855233,0.113961352
Basal Ganglia,180,Glutathione-oxidizeD-,13358358.4,11939437.2,10435744.2,15407113.4,0.893780272,0.781214569,1.15336877,0.960200616,0.747965942,0.998296367
Hippocampus,183,Glutathione-oxidized,966348,4183619,5411474.2,475000.2,4.329308903,5.599922802,0.491541556,0.025493387,0.039739009,0.852583445
Cortex,183,Glutathione-oxidized,1479210.8,1735607.2,3980619.4,3912222.4,1.17333324,2.691042683,2.644803837,0.999012496,0.281194271,0.310616652
Cerebellum,183,Glutathione-oxidized,830208.6,6496466.2,4107783.5,812927.4,7.825101065,4.947893216,0.979184509,0.009724876,0.034986191,0.906063856
Basal Ganglia,183,Glutathione-oxidized,1348473.4,1615795.8,4827033,513440.8,1.198240766,3.579627896,0.380757084,0.993083438,0.241330055,0.062984848
Hippocampus,181,Glutathione-reduceD-,26980209.6,4961295.6,11248694,20398679.2,0.183886474,0.416923892,0.756060813,0.026589894,0.081686523,0.878654458
Cortex,181,Glutathione-reduceD-,12898368,8518376.6,8198412.6,6115206.2,0.660422822,0.635616273,0.474106972,0.998951633,0.85230929,0.697901433
Cerebellum,181,Glutathione-reduceD-,19833993.6,11166424.6,9833156.667,7992656.6,0.562994263,0.495772907,0.402977674,0.413239229,0.445066518,0.253833811
Basal Ganglia,181,Glutathione-reduceD-,21737520.8,17821462,20227212.6,28962826.2,0.819847956,0.930520678,1.33238866,0.995994948,0.645254181,0.993312315
Hippocampus,187,Gly-Gly-Gly,57657,78401.4,64403,100370,1.359789791,1.117002272,1.740812044,0.368399799,0.950430076,0.07180678
Cortex,187,Gly-Gly-Gly,73332.4,49480.6,67756.2,37337.6,0.674744042,0.923959941,0.509155571,0.989968763,0.91004746,0.657483811
Cerebellum,187,Gly-Gly-Gly,52123.6,130244.2,56102.5,68679,2.498756801,1.076335863,1.317618123,0.874404725,0.999753439,0.555182755
Basal Ganglia,187,Gly-Gly-Gly,49320.2,57994,69962.2,130324,1.175867089,1.418530338,2.642406154,0.976874464,0.996118238,0.43755412
Hippocampus,188,Gly-His,239720.6,434178.8,436409.6,232012,1.811186857,1.82049269,0.967843398,0.367210434,0.446458026,0.999937178
Cortex,188,Gly-His,162573.4,256766,221228.8,382190.2,1.579385065,1.36079334,2.350877819,0.42720752,0.884898368,0.084555318
Cerebellum,188,Gly-His,420751.6,634272.6,458667.1667,228211.8,1.507475194,1.090113898,0.542390807,0.747056449,0.9876661,0.204896326
Basal Ganglia,188,Gly-His,440680,616747.4,512638.8,406309.6,1.399535718,1.163290369,0.922005991,0.740576396,0.851142119,0.963573397
Hippocampus,186,Glycerophosphocholine,5823390.8,5093370.4,6783826.6,4860513.2,0.874639978,1.164927245,0.834653446,0.999157879,0.894679071,0.944823305
Cortex,186,Glycerophosphocholine,5492953.6,7950213.4,6343987,6231045.6,1.447347635,1.154931838,1.134370696,0.89278556,0.956937426,0.999992319
Cerebellum,186,Glycerophosphocholine,7298668.4,4953020.4,12589306.83,3671584.4,0.678619733,1.724877216,0.503048529,0.545747565,0.775488931,0.242328906
Basal Ganglia,186,Glycerophosphocholine,6966475.4,4896065.6,7367243.2,5664970.8,0.702803831,1.057528058,0.813176029,0.284228203,0.993764832,0.659143909
Hippocampus,189,Guanidinoacetic-acid,13850799.8,14408754.8,14776254.8,12170935.2,1.040283233,1.066815997,0.878717141,0.933250629,0.847530214,0.852130198
Cortex,189,Guanidinoacetic-acid,10326191,10626861,11604024,11783804.8,1.029117222,1.123746791,1.141156967,0.99066084,0.700821013,0.642933195
Cerebellum,189,Guanidinoacetic-acid,12094902.8,13936222.4,12736543.5,14264575.8,1.152239305,1.053050505,1.179387386,0.219201351,0.876252576,0.159953948
Basal Ganglia,189,Guanidinoacetic-acid,11955280,11202193.6,13265835.6,12025750,0.93700805,1.109621489,1.005894467,0.819896736,0.667325745,0.999971505
Hippocampus,190,Guanine,9781405.4,10177145,5775730.2,3872189.4,1.040458358,0.590480607,0.395872499,0.999777457,0.227061472,0.013359468
Cortex,190,Guanine,7324503,11604185.2,4360708,6089878,1.5842966,0.595358893,0.831439075,0.509258527,0.334018631,0.787929233
Cerebellum,190,Guanine,18932077.2,18220895.4,19530942.5,13643971.6,0.962435089,1.031632308,0.720680116,0.96961731,0.751213615,0.715437404
Basal Ganglia,190,Guanine,10005950.6,5074839,5495696,2354611.6,0.507182096,0.549242768,0.23532113,0.088412226,0.099871074,9.33196E-05
Hippocampus,191,Guanosine,10514379.2,13883167.4,16618032,2063888.2,1.320398203,1.580505295,0.196291969,0.253480264,0.04510261,2.15037E-07
Cortex,191,Guanosine,18107173,11788417.4,15593333.2,14907438.6,0.651035775,0.861168842,0.823289124,0.018502576,0.705101839,0.555891426
Cerebellum,191,Guanosine,11309887.8,14998502,18458325.5,6710692.6,1.326140654,1.632052044,0.593347407,0.799018672,0.286565149,0.146855221
Basal Ganglia,191,Guanosine,9665812.4,13308399,17246427.4,1371423.2,1.376852607,1.78427086,0.141883904,0.121295414,0.004465816,4.34988E-10
Hippocampus,192,Guanosine-5-tetraphosphate,13939161.8,19390878,18109770.2,21216587.2,1.391107893,1.299200803,1.522084865,0.319303454,0.562371479,0.217630429
Cortex,192,Guanosine-5-tetraphosphate,14197773.6,18559527.4,17471310.6,17899554,1.307213928,1.230566925,1.26072964,0.330907473,0.694274537,0.586449624
Cerebellum,192,Guanosine-5-tetraphosphate,12729480.6,16350643.4,15203459.67,23982390.4,1.284470586,1.194350354,1.884003845,0.600451024,0.74025738,0.031029606
Basal Ganglia,192,Guanosine-5-tetraphosphate,17491317.6,15428006.8,14399273.4,19600930.4,0.882038,0.823224055,1.120609142,0.788250108,0.482834858,0.968955369
Hippocampus,193,Guanylurea,491865.2,59241,97357.2,25652.4,0.120441536,0.197934719,0.052153314,0.179727657,0.507195341,0.032381892
Cortex,193,Guanylurea,658061.6,35316.2,101630,44487.2,0.053667012,0.154438429,0.067603398,0.067830003,0.247520779,0.058781275
Cerebellum,193,Guanylurea,372054.4,108442.8,76700.5,95881.2,0.29147028,0.206153993,0.257707475,0.577336477,0.705276999,0.579239555
Basal Ganglia,193,Guanylurea,37052.6,65721.8,195122.4,27539.2,1.773743273,5.266091988,0.743246088,0.882135051,0.600884364,0.992523798
Hippocampus,194,Hexaethylene-glycol,10675.4,8760.6,23542.2,190529.4,0.820634356,2.205275681,17.84751859,0.981477778,0.886928654,0.991147702
Cortex,194,Hexaethylene-glycol,13600.4,17085.8,231463,157181.4,1.256271874,17.01883768,11.55711597,0.912233071,0.920644215,0.926030302
Cerebellum,194,Hexaethylene-glycol,1000,20678,345795.3333,8369.8,20.678,345.7953333,8.3698,0.175294633,0.07674059,0.756302151
Basal Ganglia,194,Hexaethylene-glycol,15056.2,301001.6,291122.2,170230.4,19.99187046,19.33570224,11.30633228,0.995995226,0.664579702,0.991072825
Hippocampus,195,Hexamethylene-bisacetamide,1524642.2,1941733,1595491.8,1154051.6,1.273566349,1.046469657,0.756932741,0.539467463,0.980046968,0.795768128
Cortex,195,Hexamethylene-bisacetamide,1295156.4,1330543.2,1399348.4,1510188,1.027322414,1.080447427,1.166027516,0.990152577,0.955099094,0.724218786
Cerebellum,195,Hexamethylene-bisacetamide,1596894,1915398.8,1949596.667,1259557.8,1.199452688,1.220867927,0.788754795,0.817717239,0.584722848,0.48745327
Basal Ganglia,195,Hexamethylene-bisacetamide,2291848.8,2286525.2,2143038.6,1896413.2,0.997677159,0.9350698,0.827459996,0.999997426,0.969870985,0.574878886
Hippocampus,196,Hexanoyl-L-carnitine,1123676,633335,1217575.8,481876.6,0.563627772,1.083564835,0.428839452,0.717464863,0.994464918,0.285479528
Cortex,196,Hexanoyl-L-carnitine,906569.2,986383.6,598267.8,770060.8,1.088040053,0.659925133,0.849423078,0.852830014,0.242940705,0.949021583
Cerebellum,196,Hexanoyl-L-carnitine,826877.6,1097219.6,939218.6667,1207288.8,1.32694319,1.135861785,1.46005745,0.967367293,0.996582636,0.675671816
Basal Ganglia,196,Hexanoyl-L-carnitine,686433.6,635544.4,621012,421263.8,0.925864352,0.904693477,0.613699271,0.970051604,0.781286075,0.10040818
Hippocampus,197,Hippuric-acid,1000,6490,5224,1000,6.49,5.224,1,0.359255436,0.4286098,1
Cortex,197,Hippuric-acid,6114.4,4750.4,3269.8,5873.4,0.776920058,0.534770378,0.960584849,0.999125657,0.91366149,0.999997766
Cerebellum,197,Hippuric-acid,4059.4,13714.2,6935.833333,1000,3.378381042,1.708585834,0.246341824,0.478640597,0.790801189,0.896450423
Basal Ganglia,197,Hippuric-acid,1000,6262.4,3569,3425.8,6.2624,3.569,3.4258,0.446995267,0.871997239,0.878465052
Hippocampus,198,His-Ala,27188.6,112345,49566.8,23534.6,4.132062703,1.823072906,0.865605438,0.536305407,0.916314514,0.930132027
Cortex,198,His-Ala,15742.2,10270.6,44624.6,58097.8,0.652424693,2.834711794,3.690576921,0.727420808,0.9399648,0.31991961
Cerebellum,198,His-Ala,153131.4,774110.2,267017.8333,151109.2,5.055202264,1.743717052,0.986794348,0.48156818,0.992986463,0.999363624
Basal Ganglia,198,His-Ala,46907.4,93631.2,54353,82368.6,1.996085905,1.158729753,1.755983065,0.540303257,0.803800435,0.993402995
Hippocampus,199,His-Glu,519850.4,850147.8,736252.4,580451.8,1.635370099,1.416277452,1.116574691,0.076039804,0.338066868,0.938013161
Cortex,199,His-Glu,381987.4,511958.4,529673.4,547891.2,1.340249443,1.386625318,1.434317467,0.40786226,0.514132455,0.298255034
Cerebellum,199,His-Glu,611121.2,1066234,689507,496557.4,1.744717742,1.128265555,0.812535059,0.278636716,0.940592159,0.721950589
Basal Ganglia,199,His-Glu,658505.6,872945,756991.4,811686.6,1.325645522,1.149559548,1.23261913,0.159657143,0.624095954,0.414839334
Hippocampus,200,His-Gly,353494.4,1347064.4,619598.8,475929.8,3.810709307,1.752782505,1.346357396,0.201314179,0.63673815,0.879043511
Cortex,200,His-Gly,371677,424384.6,525479,969434.6,1.141810228,1.413805535,2.608271698,0.920556508,0.660556975,0.005944042
Cerebellum,200,His-Gly,3350796.2,3920881.2,3095020,2213275.4,1.170134191,0.923667038,0.660522236,0.668116723,0.996418954,0.827018461
Basal Ganglia,200,His-Gly,996810,1307869.4,1101113.8,1080590,1.312054855,1.104637594,1.084048113,0.855388478,0.971037828,0.999684781
Hippocampus,201,His-Leu,6272.2,18327.4,1000,18489.4,2.922005038,0.159433692,2.947833296,0.844953153,0.917969393,0.850897245
Cortex,201,His-Leu,5208.8,1000,5580.4,1000,0.191982798,1.071340808,0.191982798,0.75874369,0.999993528,0.75874369
Cerebellum,201,His-Leu,6729,101389,29910.16667,17989,15.06746916,4.444964581,2.673354139,0.350917069,0.927214706,0.763469854
Basal Ganglia,201,His-Leu,27708.6,70453,7150.8,70581.4,2.542640191,0.258071501,2.547274131,0.995623245,0.269831537,0.568681235
Hippocampus,202,His-Pro,629554.2,129820.6,235954.4,229933,0.206210363,0.374796006,0.365231461,0.130383443,0.611959594,0.558537062
Cortex,202,His-Pro,231390.8,171083.4,169124,207079.8,0.739369932,0.730902006,0.894935322,0.832657058,0.474957764,0.999714985
Cerebellum,202,His-Pro,231290.6,216215.2,196864.3333,225324.2,0.934820524,0.85115579,0.97420388,0.995761684,0.986572148,0.993931763
Basal Ganglia,202,His-Pro,1879416.6,3062726.4,449632.6,392957.4,1.629615488,0.239240518,0.209084777,0.998994511,0.999972708,0.990791099
Hippocampus,203,Histamine,5900207.2,11225430,6441373.4,4685902.2,1.902548439,1.091719864,0.794192821,0.999516484,0.92310803,0.831658247
Cortex,203,Histamine,1804250.4,3010705.2,1916046.4,5652470.8,1.668673705,1.061962575,3.13286382,0.43504181,0.991537469,0.043807982
Cerebellum,203,Histamine,834907.2,883627,806697.5,1232923.8,1.058353551,0.966212173,1.476719568,0.928034454,0.999460404,0.357055112
Basal Ganglia,203,Histamine,10693003.8,2148183,7278897,3445983.8,0.200896122,0.680715834,0.322265274,0.068078453,0.993726573,0.266147064
Hippocampus,204,Histidine-M-H-HCD-NCE-20-30-40-,74998344,101980952,80214977.6,67261514.4,1.359776051,1.06955665,0.896839994,0.090927919,0.909112103,0.940812155
Cortex,204,Histidine-M-H-HCD-NCE-20-30-40-,66922409.6,84327081.6,83254013.6,75991355.2,1.260072405,1.244037895,1.135514332,0.305319005,0.443520922,0.866081569
Cerebellum,204,Histidine-M-H-HCD-NCE-20-30-40-,86139476.8,119494272,80703688,88135828.8,1.387218456,0.936895498,1.023175808,0.184746136,0.971853428,0.999999814
Basal Ganglia,204,Histidine-M-H-HCD-NCE-20-30-40-,83943785.6,100813132.8,80059433.6,73780025.6,1.200960048,0.953726747,0.878921829,0.387335121,0.969227891,0.525723501
Hippocampus,205,Homoarginine,3373549.6,4517516.4,5204363.8,5197081.2,1.339098853,1.54269669,1.540537954,0.304851427,0.133892774,0.119557902
Cortex,205,Homoarginine,2868694.2,3748621.8,4702058.2,4927111.4,1.306734541,1.639093564,1.717545007,0.317158234,0.055580465,0.017518231
Cerebellum,205,Homoarginine,4617506,6809624.8,5776096.667,7167792.8,1.474740867,1.25091265,1.552308281,0.281887916,0.621508265,0.228827783
Basal Ganglia,205,Homoarginine,3412108.4,4284892,4511937,4962549.8,1.255790115,1.322331084,1.454393946,0.271978376,0.122700586,0.047830063
Hippocampus,206,Homoserine,4412101.2,6789389.8,6538461.4,6923092.2,1.538810986,1.48193822,1.569114552,0.122451026,0.187483473,0.148794114
Cortex,206,Homoserine,4775392.4,5319758.8,6280267.2,7805014.2,1.113994067,1.315131129,1.634423634,0.98364112,0.487952407,0.066185615
Cerebellum,206,Homoserine,7875931.4,7960919,7255212,8402210.4,1.0107908,0.92118781,1.066821176,0.99999277,0.990276231,0.992844955
Basal Ganglia,206,Homoserine,5391192.4,27523977,21936242.6,9037017.2,5.105359809,4.068903681,1.676255739,0.462090989,0.551824624,0.777576866
Hippocampus,207,Hypoxanthine,685912913.6,773004588.8,678644826.4,929059723.2,1.126971914,0.989403776,1.354486415,0.615824438,0.999999707,0.067872127
Cortex,207,Hypoxanthine,714756003.2,732399550.4,762169557.2,747912053.6,1.024684714,1.0663353,1.046387929,0.999059637,0.9964214,0.994347517
Cerebellum,207,Hypoxanthine,961527140.8,883332957.2,912854181.3,1224822898,0.918677092,0.949379526,1.273830811,0.852534739,0.888713421,0.210591037
Basal Ganglia,207,Hypoxanthine,801944480,843133216,827280329.6,898149833.6,1.051361082,1.031593022,1.119965105,0.787074866,0.933927269,0.175899548
Hippocampus,208,Ile-Arg,59781,54642.8,26622.2,107599.2,0.914049614,0.445328783,1.799889597,0.949989873,0.765188078,0.669932867
Cortex,208,Ile-Arg,36938.2,26514,15310.6,18225.6,0.717793504,0.414492314,0.493407908,0.998416046,0.621904826,0.881826045
Cerebellum,208,Ile-Arg,64037.4,106935,37347.33333,87923.2,1.669883537,0.583211269,1.372997654,0.997889015,0.462325721,0.975077692
Basal Ganglia,208,Ile-Arg,154379.2,29293.8,16886.4,185123.4,0.189752246,0.109382611,1.199147294,0.118310187,0.023813693,0.973355478
Hippocampus,209,Indolelactic-acid,103104,131778,116745.4,120395.8,1.278107542,1.132307185,1.167712213,0.276496845,0.826138825,0.668428487
Cortex,209,Indolelactic-acid,152410,110811.2,84130.6,74879,0.727059904,0.552001837,0.491299783,0.676611171,0.217308817,0.101826194
Cerebellum,209,Indolelactic-acid,96260.6,79041,74064,117363.2,0.821114766,0.769411369,1.219223649,0.673856223,0.887831471,0.999954711
Basal Ganglia,209,Indolelactic-acid,115539,115590.8,120661,117993.6,1.000448333,1.044331351,1.021244774,0.995477243,0.965488252,0.999951379
Hippocampus,210,Inosine,19780315,23950182,29463426,13074334.4,1.210808928,1.4895327,0.660977057,0.633787404,0.223798474,0.258289866
Cortex,210,Inosine,20790166.6,23413172.8,29861088,29523529.2,1.126165713,1.436308259,1.420071795,0.773596424,0.033763304,0.033915189
Cerebellum,210,Inosine,26274524,31746145.6,36063395.33,26942630.4,1.208248172,1.37256132,1.025427916,0.387434514,0.061893499,0.999972054
Basal Ganglia,210,Inosine,20110298.8,25621848.8,32970000.4,12550606,1.274066042,1.639458505,0.624088489,0.223001898,0.004599178,0.003850216
Hippocampus,211,Inosine-5-monophosphate,59091503.2,80571743.8,69481669.2,73486177.8,1.363508109,1.175831811,1.243599736,0.354398809,0.785470572,0.705919044
Cortex,211,Inosine-5-monophosphate,43957368.4,64642171.6,59861979,56963377.2,1.470565094,1.361818989,1.295877785,0.196109857,0.55159302,0.549517592
Cerebellum,211,Inosine-5-monophosphate,47071401.6,66916832.8,58671725.83,57868363.2,1.421602725,1.24644102,1.229374126,0.248238473,0.498318474,0.711005919
Basal Ganglia,211,Inosine-5-monophosphate,71405374.8,67931925.2,59097782.6,67650751.2,0.951355908,0.827637734,0.947418194,0.967408778,0.392472554,0.893138237
Hippocampus,212,Isoleucine,20133085.2,26017758.8,22882303,24439710,1.292288715,1.136552236,1.213907842,0.31405212,0.822645776,0.518611282
Cortex,212,Isoleucine,17694186.4,19663356.8,21047732.4,23816478.8,1.111289118,1.189528127,1.346005872,0.738938708,0.287032463,0.023934025
Cerebellum,212,Isoleucine,20168610.4,25448609.6,21381578.83,24986763.2,1.26179291,1.060141398,1.238893642,0.099478814,0.938446496,0.13597929
Basal Ganglia,212,Isoleucine,23491954.4,27904592.4,28315253.2,28462439.6,1.187836138,1.205317051,1.211582447,0.329468962,0.311737503,0.285667358
Hippocampus,213,Isoprostaglandin-F2alpha-IV,681037.2,307744,222240,727886.4,0.451875463,0.326325787,1.068790956,0.320502606,0.074378116,0.86001486
Cortex,213,Isoprostaglandin-F2alpha-IV,356866.6,565729.6,655910.6,270686.4,1.585269117,1.837971388,0.758508642,0.984702432,0.881328901,0.984530513
Cerebellum,213,Isoprostaglandin-F2alpha-IV,336364.2,603915.6,396915.8333,909250,1.795421748,1.180018068,2.703171146,0.91662792,0.934423702,0.51422605
Basal Ganglia,213,Isoprostaglandin-F2alpha-IV,348493.4,450665,425582.8,474645.8,1.293180875,1.221207633,1.361993656,0.96416941,0.999999811,0.99999983
Hippocampus,214,Isovaleryl-L-carnitine,25228193,13903295.6,37753959.4,9631552.8,0.551101524,1.496498754,0.381777355,0.215129842,0.63523485,0.015600146
Cortex,214,Isovaleryl-L-carnitine,20813472,17246129.2,25327454,22471378.4,0.828604146,1.216877895,1.079655446,0.687736229,0.561884639,0.957197718
Cerebellum,214,Isovaleryl-L-carnitine,23770353.4,11729861.4,32346737,15314042.8,0.493466008,1.360801687,0.64424969,0.039604644,0.383613985,0.378509505
Basal Ganglia,214,Isovaleryl-L-carnitine,19359555.6,14243125.6,27939819.6,11318611.8,0.735715524,1.443205628,0.58465246,0.373696642,0.573307822,0.096820204
Hippocampus,215,L-alpha-Amino-gamma-butyrolactone,5354610,3280682,3267408.2,3585082.2,0.61268365,0.610204702,0.669531899,0.202810238,0.193084444,0.423787224
Cortex,215,L-alpha-Amino-gamma-butyrolactone,3334237.2,3778477,3025287.4,3549695.4,1.133235812,0.907340186,1.064619938,0.552732207,0.754298286,0.875873689
Cerebellum,215,L-alpha-Amino-gamma-butyrolactone,4716416.6,3818531,4638063.833,4313046.4,0.809625469,0.983387225,0.914475282,0.175336738,0.999884487,0.693893279
Basal Ganglia,215,L-alpha-Amino-gamma-butyrolactone,5852557.8,3916105.4,4029677.4,3863031.8,0.669127164,0.688532696,0.660058718,0.18441122,0.243221772,0.16655075
Hippocampus,216,L-gamma-Glutamyl-L-glutamic-acid,12316794.2,17876691.8,19124043.2,16957392.6,1.451407851,1.552680258,1.376769988,0.41771524,0.421478314,0.636934463
Cortex,216,L-gamma-Glutamyl-L-glutamic-acid,12642590.4,15364461,21325681.2,21045359.2,1.215293742,1.686812633,1.664639804,0.822202133,0.062150905,0.068626597
Cerebellum,216,L-gamma-Glutamyl-L-glutamic-acid,8936221,14021238,15764821.5,16552420,1.569034383,1.76414857,1.852284092,0.190571436,0.078366725,0.086077241
Basal Ganglia,216,L-gamma-Glutamyl-L-glutamic-acid,17107053,12981180.6,20379489.2,15999440.6,0.758820388,1.191291639,0.93525405,0.41687938,0.843059427,0.963940037
Hippocampus,218,L-Arginine-methyl-ester,320943,214956.8,400755,319062,0.669766282,1.248679672,0.994139146,0.810882962,0.784026275,0.988715886
Cortex,218,L-Arginine-methyl-ester,243211,282297.8,321483.4,338599.8,1.160711481,1.321829194,1.392205945,0.921624091,0.930330035,0.538417478
Cerebellum,218,L-Arginine-methyl-ester,327824.4,399429.8,410730.5,462549.6,1.218426084,1.252897893,1.410967579,0.997142412,0.883410519,0.612470816
Basal Ganglia,218,L-Arginine-methyl-ester,296202.4,314210.8,295920,220012,1.060797617,0.999046598,0.742775886,0.944469475,0.99999991,0.092400363
Hippocampus,219,L-Aspartic-acid,1829087.2,2593968,3787645.4,3341485.2,1.418176236,2.070784487,1.82685943,0.352425347,0.046252838,0.083916973
Cortex,219,L-Aspartic-acid,2286240.6,3343827.8,4105438.4,4703890.2,1.462587883,1.795715814,2.057478202,0.3612646,0.182490854,0.118459458
Cerebellum,219,L-Aspartic-acid,2808840.4,4763080,4139468.333,4896519.4,1.695746045,1.473728565,1.743252981,0.283967743,0.317788544,0.252420768
Basal Ganglia,219,L-Aspartic-acid,2601434.4,2845299.4,2901237.4,3306314,1.093742514,1.115245266,1.270958053,0.952434196,0.958949914,0.767225651
Hippocampus,220,L-beta-Homolysine,1102963.6,1312460.8,1744329.8,1372930.2,1.189940266,1.581493533,1.244764741,0.588064531,0.134000771,0.564061762
Cortex,220,L-beta-Homolysine,1056694.4,1203712.6,1424328.6,1400666.6,1.139130292,1.34790967,1.325517198,0.932318183,0.443313216,0.374828275
Cerebellum,220,L-beta-Homolysine,751906.4,1374057.8,1255608.833,1520877.8,1.827431978,1.669900447,2.022695644,0.053894584,0.086588651,0.016054697
Basal Ganglia,220,L-beta-Homolysine,1284025.6,1496042.2,1458015.8,1264610.4,1.165118671,1.135503685,0.984879429,0.556724021,0.702271911,0.985345187
Hippocampus,221,L-beta-Homomethionine,1188040.4,1096761.2,2106084.8,675720.6,0.923168269,1.772738368,0.568769042,0.902254106,0.220449419,0.885514134
Cortex,221,L-beta-Homomethionine,687156,1175585.6,1114713.2,1534655.8,1.710798712,1.622212714,2.233344102,0.076597712,0.137413524,0.010574917
Cerebellum,221,L-beta-Homomethionine,1380773.6,2188161,2632937.333,1640650.4,1.584735542,1.906856659,1.188211014,0.299175224,0.029743053,0.87309947
Basal Ganglia,221,L-beta-Homomethionine,1164546.2,909651.6,1366011,485558.8,0.781121092,1.172998547,0.416951084,0.799170444,0.794220346,0.008398
Hippocampus,222,L-Carnosine,3504317.6,3429157.6,2683338.4,2873255.4,0.978552172,0.765723518,0.819918663,0.999839027,0.525500702,0.521356827
Cortex,222,L-Carnosine,2687517,2742155.8,3451480.2,2964815.8,1.020330588,1.284263579,1.103180296,0.999200449,0.691490095,0.997309737
Cerebellum,222,L-Carnosine,3079295.6,5654744.2,5553734.833,4778094.4,1.836375891,1.80357314,1.551684223,0.394577912,0.5339571,0.758929949
Basal Ganglia,222,L-Carnosine,3148070.2,3652182.6,2911298.4,3323527.2,1.160133786,0.924788272,1.05573478,0.749195284,0.959172074,0.997893021
Hippocampus,223,L-Cystathionine,162675.4,246179.4,233762,288861.6,1.513316703,1.436984326,1.77569319,0.564077956,0.74627577,0.736721654
Cortex,223,L-Cystathionine,125013.4,150049.2,156512,183038,1.200264932,1.25196179,1.464147043,0.622251676,0.671894797,0.124643116
Cerebellum,223,L-Cystathionine,727172.8,648663.6,705042.3333,1452204.4,0.892035016,0.969566427,1.997055445,0.999999942,0.998374849,0.064886235
Basal Ganglia,223,L-Cystathionine,176823.6,192322.4,172687.6,203641.2,1.087651196,0.976609457,1.151663013,0.965852813,0.993175034,0.963731304
Hippocampus,224,L-Cysteine-glutathione-disulfide,303740.6,821483.6,1229386.4,203210,2.704556454,4.047487889,0.669024819,0.250545106,0.326716991,0.793034753
Cortex,224,L-Cysteine-glutathione-disulfide,338036.4,507357,1075245.8,1129518.8,1.500894578,3.180858038,3.341411753,0.899801198,0.330559948,0.351229278
Cerebellum,224,L-Cysteine-glutathione-disulfide,253808.2,1297830.4,704063.3333,1707075,5.113429747,2.773997583,6.725846525,0.040926429,0.358538769,0.045118661
Basal Ganglia,224,L-Cysteine-glutathione-disulfide,365626.2,395382.6,1331897.6,217085.8,1.081384759,3.642784899,0.593736991,0.990073797,0.335371408,0.699349276
Hippocampus,225,L-Cysteine-glutathione-disulfide-1,4342.6,50440.2,132737.6,1000,11.61520748,30.5663888,0.230276793,0.114493122,0.282322683,0.954354178
Cortex,225,L-Cysteine-glutathione-disulfide-1,3803.2,3575.8,99402.2,106451.2,0.940208246,26.13646403,27.98990324,0.999998983,0.06966334,0.084133139
Cerebellum,225,L-Cysteine-glutathione-disulfide-1,1000,155984.8,45555.16667,25173.4,155.9848,45.55516667,25.1734,0.126918401,0.198988452,0.890334972
Basal Ganglia,225,L-Cysteine-glutathione-disulfide-1,2759.8,13235.2,215162,1000,4.795709834,77.96289586,0.362345097,0.897685515,0.105695189,0.980504687
Hippocampus,227,L-Glutamic-acid,14969265.2,20451055.6,17196903.6,17339142.6,1.366203038,1.148814145,1.158316214,0.4419105,0.828744989,0.890892775
Cortex,227,L-Glutamic-acid,15896090.4,17784165.4,18034667.4,15844770.6,1.118776061,1.134534778,0.996771546,0.889985423,0.933934425,0.999878914
Cerebellum,227,L-Glutamic-acid,21576909.2,32787256.6,28876167.67,18821283.4,1.519552977,1.338290271,0.872288205,0.694164061,0.712288578,0.878673758
Basal Ganglia,227,L-Glutamic-acid,27227111.2,24320780,24327957.6,25481781.6,0.893255984,0.893519603,0.935897364,0.862942907,0.937304152,0.945244309
Hippocampus,228,L-Glutamic-aciD-dimethyl-ester,1053499.2,1007345.8,1209789,1085180.4,0.95619038,1.148353031,1.030072353,0.996624285,0.74979656,0.948656682
